# chữ Hán → âm Hán-Việt ('|' ngăn cách nếu đa âm, âm đầu = mặc định).
# Nguồn: github.com/ph0ngp/hanviet-pinyin-words (MIT) + Unihan kTraditionalVariant
# (giản thể hợp nhất cả âm của dạng phồn thể). Sinh bởi build_hv3.py 2026-07.
⻏	ấp
㐷	mạ
㑩	la
㑺	tuấn
㒸	toại
㖊	tầm
㖞	oai
㛀	trâu
㟥	sâm
㤭	kiêu
㤽	trù
㥯	ẩn
㧑	huy
㧛	lãm
㧟	khối
㧰	lịch
㨪	hoảng
㱩	độc
㳽	my
㴋	tiêu
㶉	khê
㺍	tân
䁖	lâu
䅟	sam
䇲	sách
䉤	tẩu
䌷	trừu
䌸	truyện
䌹	quýnh
䌽	thái
䍁	toại
䐪	tuyến
䒿	liêu
䓕	vĩ
䓖	cùng
䓨	oanh
䗖	đế
䙓	bãi
䜣	hân
䜩	yến
䝙	sơ
䦆	cuốc
䩄	điển
䯄	qua
䲟	ấn
䲠	xuân
䴕	liệt
䴘	đề
䴙	tịch
䶮	yểm
一	nhất
丁	đinh
丂	khảo
七	thất
丄	thượng
丅	hạ
万	mặc|vạn
丈	trượng
三	tam
上	thướng|thượng
下	hạ
丌	cơ|kỳ
不	bất
与	dư|dữ|dự
丏	miễn
丐	cái
丑	sửu|xú
专	chuyên
且	thả
丕	phi
世	thế
丗	thế
丘	khâu
丙	bính
业	nghiệp
丛	tùng
东	đông
丝	tơ
丞	thừa
丟	đâu
両	lưỡng
丢	đâu
丣	dậu
两	lưỡng|lượng|lạng
严	nghiêm
並	tịnh|tính
丧	tang|táng
丨	cổn
丩	cưu
个	cá
丫	nha
中	trung|trúng
丮	kịch
丰	phong
丱	quán
串	xuyến
丳	sạn
临	lâm
丵	trác
丶	chủ
丸	hoàn
丹	đan
为	vi|vị|vì
主	chủ|chúa
丼	đảm|tỉnh
丽	ly|lệ
举	cử
丿	phẩy|triệt
乀	phật|phất
乂	nghệ
乃	nãi
久	cửu
乆	cửu
乇	thác|trách
么	yêu|ma
义	nghĩa
之	chi
乌	ô
乍	sạ
乎	hồ
乏	phạp
乐	lạc|nhạc
乑	chúng
乒	binh
乓	bàng
乔	kiều
乕	hổ
乖	quai
乗	thừa
乘	thừa|thặng
乙	ất
乚	ất
乜	khiết|mị
九	cửu
乞	khất
也	dã
习	tập
乡	hương
乢	cái
书	thư
乩	kê
买	mãi
乱	loạn
乳	nhũ
乴	tích
乹	càn|kiền|can
乾	càn|kiền|can
亀	quy
亁	can
亂	loạn
亄	ý
亅	quyết
了	liễu|liêu
予	dư|dữ
争	tranh
亊	sự
事	sự
二	nhị
亍	xúc
于	vu|ư|hu|ô
亏	khuy
云	vân
互	hỗ
五	ngũ
井	tỉnh
亙	cắng
亚	á
些	ta
亜	á
亝	tề
亞	á
亟	gấp|khí
亠	đầu
亡	vong
亢	kháng
交	giao
亥	hợi
亦	diệc
产	sản
亨	hanh
亩	mẫu
享	hưởng
京	kinh
亭	đình
亮	lượng
亯	hanh
亱	dạ
亲	thân|thấn
亳	bạc
亵	tiết
亶	đản
亸	đả
亹	mên|môn|vỉ|vĩ
人	nhân
亻	nhân
亼	tập
亾	vong
亿	ức
什	thậm|thập
仁	nhân
仂	lặc
仃	đinh
仄	trắc
仅	cận
仆	bộc
仇	cừu|thù
仉	chưởng
今	kim
介	giới
仌	băng
仍	nhưng
从	tòng|tùng
仏	phật
仑	luân
仓	thương|thảng
仔	tể|tử
仕	sĩ
他	tha
仗	trượng
付	phó
仙	tiên
仝	đồng
仞	nhận
仟	thiên
仡	ngật
